GOSECSBJ,KISMODE,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECPOP_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECPOP_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECPOP_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECPOP_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,GOSECPOP_W
CAH24-01-02,01,03,22000,25000,28000,190,22000,25000,28000,150,NA,NA,NA,NA,22000,25000,30000,30,NA,NA,NA,NA
CAH24-01-03,01,03,21500,24000,26500,130,21500,24000,26500,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01-04,01,03,21000,24000,26000,1670,21000,24000,26500,1460,21000,23000,24000,25,21000,23000,26000,115,21000,22500,26000,60
CAH24-01-04,02,03,17500,21000,26000,20,17500,21000,26000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01-05,01,03,20000,23000,26000,2945,20000,23000,26000,2495,19000,22000,25000,110,19500,22000,25000,235,19000,22000,24000,105
CAH24-01-05,01,04,8000,20000,22000,15,14000,20000,22000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01-05,02,03,20000,23000,25000,35,20000,22000,25000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25,01,03,20000,23000,26000,19485,20000,23000,26000,17445,18000,22000,25000,300,19500,22000,25000,1015,18000,21000,24500,675
CAH25,01,04,16500,21000,25000,615,17000,21000,26000,580,NA,NA,NA,NA,12000,21500,24000,15,18000,20000,21500,20
CAH25,02,03,21000,25000,30000,280,21000,25000,30000,250,NA,NA,NA,NA,19000,24000,30000,20,22000,22000,31000,10
CAH25,02,04,21500,27500,42000,55,22000,27500,42000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01,01,03,20000,23000,26000,13780,20000,23000,26000,12365,18000,22000,25000,225,20000,22000,25000,705,19000,21000,24500,450
CAH25-01,01,04,18000,21500,26000,365,18000,22000,27000,340,NA,NA,NA,NA,NA,NA,NA,NA,20000,20500,21500,15
CAH25-01,02,03,21000,25000,30000,215,21000,25000,29000,190,NA,NA,NA,NA,17000,24000,26000,15,22000,22000,31000,10
CAH25-01,02,04,21500,26000,34000,35,22000,27000,37000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-01,01,03,19500,23000,26000,155,20000,23000,27000,140,NA,NA,NA,NA,NA,NA,NA,NA,3500,12000,16000,10
CAH25-01-01,01,04,18500,20000,22000,10,18500,20000,22000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-02,01,03,18000,22000,25000,1180,18500,22000,25000,1055,13000,18000,23000,15,16500,21000,24000,75,17500,21000,24000,25
CAH25-01-02,02,03,18000,24000,50000,10,18000,21000,28000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-03,01,03,21000,23500,26000,8400,21000,24000,26000,7470,19000,23000,26000,120,20000,23000,25000,515,19000,21500,24500,275
CAH25-01-03,01,04,20000,23500,28000,130,20000,24000,28000,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-03,02,03,22000,25000,30000,145,22000,26000,30000,130,NA,NA,NA,NA,13000,24000,25000,10,NA,NA,NA,NA
CAH25-01-03,02,04,21500,27500,34000,25,22000,27500,30000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-04,01,03,20000,22000,26000,3790,20000,22500,26000,3460,17500,21000,23000,80,19000,21500,24000,110,18000,21000,25000,125
CAH25-01-04,01,04,15500,20000,24000,95,15500,20000,24000,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-04,02,03,18000,22000,28000,45,18000,22000,28000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01-05,01,03,20000,22000,26000,260,20000,22000,26000,240,NA,NA,NA,NA,NA,NA,NA,NA,19500,22000,24000,10
CAH25-01-05,01,04,18000,21500,24000,115,18000,21500,24000,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02,01,03,19000,22500,26000,5705,19000,23000,26500,5085,14000,21000,24000,75,18000,22000,26000,310,18000,21000,24500,225
CAH25-02,01,04,14500,20000,24500,250,14000,20000,24500,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02,02,03,20500,24000,30000,65,20500,24000,30000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02,02,04,22000,32000,52000,20,21500,32000,50000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-01,01,03,17000,21500,25000,230,17000,21500,25000,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-01,01,04,16000,20000,21000,15,16000,20000,21000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-02,01,03,19000,23000,26000,2900,19000,23000,26500,2585,14000,19000,24000,45,19000,22500,26000,155,19000,22000,24500,115
CAH25-02-02,01,04,15000,19000,23000,60,15000,19500,24000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-02,02,03,17000,23000,28000,45,17000,22000,27000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-02,02,04,22000,32000,52000,15,21500,32000,50000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-03,01,03,19000,23000,27000,2230,19000,23000,27000,1950,18500,22000,25000,30,17500,22000,26000,145,17000,21000,24000,100
CAH25-02-03,01,04,12500,20000,26000,150,12000,20000,27000,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-03,02,03,24000,30000,33500,20,24000,30000,36000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-04,01,03,16000,22000,25000,340,16000,22000,25000,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-02-04,01,04,14000,19000,24000,25,14000,19000,24000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26,01,03,23000,26000,30000,6135,23500,26500,30000,5395,22000,24000,27500,120,23000,26000,30000,365,21500,24000,27000,235
CAH26,01,04,20000,23000,29000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26,02,03,24000,28000,34000,195,24000,28000,32500,145,NA,NA,NA,NA,22500,26000,34500,30,24000,25000,34500,15
CAH26,02,04,25000,29500,42000,30,25000,30000,42000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01,01,03,23000,26000,30000,6135,23500,26500,30000,5395,22000,24000,27500,120,23000,26000,30000,365,21500,24000,27000,235
CAH26-01,01,04,20000,23000,29000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01,02,03,24000,28000,34000,195,24000,28000,32500,145,NA,NA,NA,NA,22500,26000,34500,30,24000,25000,34500,15
CAH26-01,02,04,25000,29500,42000,30,25000,30000,42000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-01,01,03,23000,26000,29500,920,23000,26000,30000,815,20000,24000,27000,40,21000,25000,28000,35,25000,28000,29000,25
CAH26-01-01,02,03,25000,30000,32000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-02,01,03,23000,26000,30000,1615,23500,26000,30000,1385,20000,23000,28000,40,23000,26000,28000,115,21500,23000,26000,75
CAH26-01-02,02,03,24000,28000,32000,45,24000,28000,32000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-03,01,03,24000,27000,30000,1860,24000,27000,30000,1690,25000,25000,26000,15,23000,27000,31500,95,21500,23000,26000,60
CAH26-01-03,02,03,20000,28000,30000,20,20000,28000,30000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-03,02,04,25000,34000,42000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-04,01,03,23000,26000,30000,765,23000,26000,30000,665,23000,25000,28000,20,21500,25000,30000,50,23000,24500,27500,25
CAH26-01-04,02,03,24500,28000,34500,100,25500,29000,33000,70,NA,NA,NA,NA,22000,27000,35000,20,NA,NA,NA,NA
CAH26-01-04,02,04,25000,28000,41000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-05,01,03,31000,33000,35000,15,31000,33000,35000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH26-01-06,01,03,23000,26000,30000,955,23000,26000,30000,830,NA,NA,NA,NA,23000,28000,31000,75,21000,22000,26000,45
CAH26-01-06,02,03,18000,26000,51000,15,20000,32000,51000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
