PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ENTUNAVAILREASON,ENTPOP,ENTAGG,ENTAGGYEAR,ENTYEAR1,ENTYEAR2,ENTSBJ,ACCESS,ALEVEL,BACC,DEGREE,FOUNDTN,NOQUALS,OTHER,OTHERHE
10000291,10000291,K00453,1,0,15,24,2021-23,2022-23,2021-22,,0,75,5,5,0,15,0,0
10000291,10000291,K00454,1,0,60,13,2022-23,2022-23,,CAH24-01-05,1,82,2,2,0,3,10,1
10000291,10000291,K00455,1,0,20,24,2021-23,2022-23,2021-22,,0,95,5,0,0,0,0,0
10000291,10000291,K00457,1,0,45,13,2022-23,2022-23,,CAH25-01-02,0,90,0,0,0,0,5,0
10000291,10000291,K00458,1,0,200,13,2022-23,2022-23,,CAH25-01-03,1,87,1,1,0,1,9,1
10000291,10000291,K00459,1,0,25,13,2022-23,2022-23,,CAH20-01-01,5,90,0,0,0,0,5,0
10000291,10000291,K00460,1,0,15,24,2021-23,2022-23,2021-22,,0,80,0,0,0,5,15,0
10000291,10000291,K00462,1,0,200,13,2022-23,2022-23,,CAH25-01-03,1,87,1,1,0,1,9,1
10000291,10000291,K00466,1,0,20,14,2022-23,2022-23,,,0,95,0,0,0,0,0,5
10000291,10000291,K00467,1,1,15,13,2022-23,2022-23,,CAH20-02-01,5,85,0,0,0,0,5,0
10000291,10000291,K00468,1,0,35,13,2022-23,2022-23,,CAH25-01-04,0,95,5,5,0,0,0,0
10000291,10000291,K00469,1,1,25,13,2022-23,2022-23,,CAH19-01-03,5,85,0,0,0,0,0,5
10000291,10000291,K00469,1,1,15,13,2022-23,2022-23,,CAH20-02-01,5,85,0,0,0,0,5,0
10000291,10000291,K00472,1,0,185,13,2022-23,2022-23,,CAH15-01-02,10,85,0,0,0,2,2,1
10000291,10000291,K00474,1,0,30,13,2022-23,2022-23,,CAH19-01-05,5,85,0,0,0,5,0,5
10000291,10000291,K00475,1,0,25,24,2021-23,2022-23,2021-22,,0,80,0,0,0,0,15,5
10000291,10000291,K00476,1,0,20,14,2022-23,2022-23,,,0,55,0,0,0,0,45,0
10000291,10000291,K00478,1,0,15,14,2022-23,2022-23,,,0,90,0,0,0,0,15,0
10000291,10000291,K00480,1,0,10,14,2022-23,2022-23,,,0,50,0,0,0,0,50,0
10000291,10000291,K00481,1,0,20,14,2022-23,2022-23,,,5,90,0,0,0,0,5,0
10000291,10000291,K00483,1,0,25,14,2022-23,2022-23,,,0,85,0,0,0,0,15,0
10000291,10000291,K00484,1,0,10,24,2021-23,2022-23,2021-22,,0,65,0,0,0,0,25,10
10000291,10000291,K00485,1,1,15,13,2022-23,2022-23,,CAH10-03-06,0,90,0,0,0,0,0,10
10000291,10000291,K00486,1,0,45,13,2022-23,2022-23,,CAH17-01-07,0,80,0,0,0,0,10,5
10000291,10000291,K00488,1,0,55,13,2022-23,2022-23,,CAH13-01-02,5,75,0,5,0,7,0,7
10000291,10000291,K00489,1,0,15,14,2022-23,2022-23,,,0,45,0,0,0,0,55,0
10000291,10000291,K00490,1,0,10,24,2021-23,2022-23,2021-22,,10,85,0,0,0,0,0,10
10000291,10000291,K00491,1,0,20,24,2021-23,2022-23,2021-22,,0,90,0,0,0,0,5,5
10000291,10000291,K00492,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00493,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00494,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00495,1,0,10,14,2022-23,2022-23,,,0,90,0,0,0,0,10,0
10000291,10000291,K00496,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00497,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00497,1,0,15,23,2021-23,2022-23,2021-22,CAH17-01-06,5,80,5,0,0,0,5,5
10000291,10000291,K00498,1,0,20,24,2021-23,2022-23,2021-22,,5,85,5,0,0,0,0,5
10000291,10000291,K00499,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00499,1,0,15,23,2021-23,2022-23,2021-22,CAH17-01-06,5,80,5,0,0,0,5,5
10000291,10000291,K00500,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00500,1,0,15,23,2021-23,2022-23,2021-22,CAH17-01-06,5,80,5,0,0,0,5,5
10000291,10000291,K00501,1,0,15,24,2021-23,2022-23,2021-22,,0,80,0,0,0,15,5,0
10000291,10000291,K00502,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00502,1,0,45,13,2022-23,2022-23,,CAH17-01-07,0,80,0,0,0,0,10,5
10000291,10000291,K00503,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00503,1,0,45,13,2022-23,2022-23,,CAH17-01-07,0,80,0,0,0,0,10,5
10000291,10000291,K00504,1,0,10,14,2022-23,2022-23,,,0,80,0,10,0,0,0,10
10000291,10000291,K00505,1,0,10,24,2021-23,2022-23,2021-22,,0,90,0,0,0,0,10,0
10000291,10000291,K00506,1,0,205,13,2022-23,2022-23,,CAH17-01-04,2,74,1,1,0,3,13,5
10000291,10000291,K00507,1,0,15,24,2021-23,2022-23,2021-22,,5,65,5,0,0,0,0,25
10000291,10000291,K00508,1,0,35,14,2022-23,2022-23,,,0,90,0,0,0,0,5,5
10000291,10000291,K00509,1,0,10,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000291,10000291,K00510,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00511,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00512,1,0,10,14,2022-23,2022-23,,,10,90,0,0,0,0,0,0
10000291,10000291,K00513,1,0,10,24,2021-23,2022-23,2021-22,,0,100,0,0,0,0,0,0
10000291,10000291,K00514,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00517,1,0,30,14,2022-23,2022-23,,,5,85,5,0,0,0,5,0
10000291,10000291,K00518,1,0,15,24,2021-23,2022-23,2021-22,,0,85,0,0,0,0,10,10
10000291,10000291,K00519,1,0,55,13,2022-23,2022-23,,CAH13-01-02,5,75,0,5,0,7,0,7
10000291,10000291,K00520,1,0,15,14,2022-23,2022-23,,,5,50,0,0,0,0,45,0
10000291,10000291,K00521,1,0,15,14,2022-23,2022-23,,,5,90,0,0,0,0,0,5
10000291,10000291,K00522,1,0,45,13,2022-23,2022-23,,CAH17-01-07,0,80,0,0,0,0,10,5
10000291,10000291,K00523,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00527,1,0,40,14,2022-23,2022-23,,,30,25,0,25,0,0,0,20
10000291,10000291,K00528,1,0,30,14,2022-23,2022-23,,,20,70,0,15,0,0,0,0
10000291,10000291,K00530,1,1,185,13,2022-23,2022-23,,CAH15-01-02,10,85,0,0,0,2,2,1
10000291,10000291,K00530,1,1,20,23,2021-23,2022-23,2021-22,CAH15-01-03,5,90,0,5,0,0,5,0
10000291,10000291,K00531,1,0,10,14,2022-23,2022-23,,,0,60,0,0,0,15,25,0
10000291,10000291,K00532,1,0,15,24,2021-23,2022-23,2021-22,,0,75,0,0,0,0,25,0
